town_id	assess_townID	town_name	fiscal year	name of zip	url
M130	130	HEATH	2011	L3_SHP_M130_HEATH.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M130_HEATH.zip
M131	131	HINGHAM	2011	L3_SHP_M131_HINGHAM.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M131_HINGHAM.zip
M132	132	HINSDALE	2011	L3_SHP_M132_HINSDALE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M132_HINSDALE.zip
M133	133	HOLBROOK	2013	L3_SHP_M133_HOLBROOK.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M133_HOLBROOK.zip
M134	134	HOLDEN	2011	L3_SHP_M134_HOLDEN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M134_HOLDEN.zip
M135	135	HOLLAND	2013	L3_SHP_M135_HOLLAND.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M135_HOLLAND.zip
M136	136	HOLLISTON	2013	L3_SHP_M136_HOLLISTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M136_HOLLISTON.zip
M137	137	HOLYOKE	2012	L3_SHP_M137_HOLYOKE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M137_HOLYOKE.zip
M138	138	HOPEDALE	2012	L3_SHP_M138_HOPEDALE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M138_HOPEDALE.zip
M139	139	HOPKINTON	2012	L3_SHP_M139_HOPKINTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M139_HOPKINTON.zip
M140	140	HUBBARDSTON	2011	L3_SHP_M140_HUBBARDSTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M140_HUBBARDSTON.zip
M141	141	HUDSON	2013	L3_SHP_M141_HUDSON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M141_HUDSON.zip
M142	142	HULL	2011	L3_SHP_M142_HULL.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M142_HULL.zip
M143	143	HUNTINGTON	2012	L3_SHP_M143_HUNTINGTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M143_HUNTINGTON.zip
M144	144	IPSWICH	2012	L3_SHP_M144_IPSWICH.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M144_IPSWICH.zip
M145	145	KINGSTON	2011	L3_SHP_M145_KINGSTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M145_KINGSTON.zip
M146	146	LAKEVILLE	2012	L3_SHP_M146_LAKEVILLE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M146_LAKEVILLE.zip
M147	147	LANCASTER	2013	L3_SHP_M147_LANCASTER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M147_LANCASTER.zip
M148	148	LANESBOROUGH	2011	L3_SHP_M148_LANESBOROUGH.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M148_LANESBOROUGH.zip
M149	149	LAWRENCE	2012	L3_SHP_M149_LAWRENCE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M149_LAWRENCE.zip
M150	150	LEE	2011	L3_SHP_M150_LEE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M150_LEE.zip
M151	151	LEICESTER	2012	L3_SHP_M151_LEICESTER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M151_LEICESTER.zip
M152	152	LENOX	2011	L3_SHP_M152_LENOX.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M152_LENOX.zip
M153	153	LEOMINSTER	2013	L3_SHP_M153_LEOMINSTER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M153_LEOMINSTER.zip
M154	154	LEVERETT	2012	L3_SHP_M154_LEVERETT.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M154_LEVERETT.zip
M155	155	LEXINGTON	2012	L3_SHP_M155_LEXINGTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M155_LEXINGTON.zip
M156	156	LEYDEN	2013	L3_SHP_M156_LEYDEN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M156_LEYDEN.zip
M157	157	LINCOLN	2013	L3_SHP_M157_LINCOLN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M157_LINCOLN.zip
M158	158	LITTLETON	2013	L3_SHP_M158_LITTLETON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M158_LITTLETON.zip
M159	159	LONGMEADOW	2011	L3_SHP_M159_LONGMEADOW.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M159_LONGMEADOW.zip
